Back,Back
"Missing or unresolved merchant reference.","Missing or unresolved merchant reference."
"Stripe Dashboard","Stripe Dashboard"
"Unable to generate Stripe Dashboard link. Please ensure the merchant has completed onboarding.","Unable to generate Stripe Dashboard link. Please ensure the merchant has completed onboarding."
"Quick link to Stripe Express Dashboard","Quick link to Stripe Express Dashboard"
"Third-party integrations configuration.","Third-party integrations configuration."
"Stripe API credentials for payment provider integration. All credentials must be provided for Stripe payments to function. After saving valid credentials, activate Stripe under Administration → Payment Methods.","Stripe API credentials for payment provider integration. All credentials must be provided for Stripe payments to function. After saving valid credentials, activate Stripe under Administration → Payment Methods."
"Server-side secret key used for all Stripe API calls. Find it in the Stripe Dashboard under Developers → API keys (https://dashboard.stripe.com/apikeys). Test keys start with sk_test_, production keys with sk_live_. Never expose this key in frontend code.","Server-side secret key used for all Stripe API calls. Find it in the Stripe Dashboard under Developers → API keys (https://dashboard.stripe.com/apikeys). Test keys start with sk_test_, production keys with sk_live_. Never expose this key in frontend code."
"Client-side publishable key used by Stripe.js in the storefront. Find it in the Stripe Dashboard under Developers → API keys (https://dashboard.stripe.com/apikeys). Test keys start with pk_test_, production keys with pk_live_. Must belong to the same environment (test/live) as the Secret Key.","Client-side publishable key used by Stripe.js in the storefront. Find it in the Stripe Dashboard under Developers → API keys (https://dashboard.stripe.com/apikeys). Test keys start with pk_test_, production keys with pk_live_. Must belong to the same environment (test/live) as the Secret Key."
"Signing secret used to verify incoming Stripe webhook events. To obtain it: open the Stripe Dashboard → Developers → Webhooks (https://dashboard.stripe.com/webhooks), click 'Add endpoint', enter your shop's notification URL (e.g. https://your-shop.com/stripe/notification), select the required events, then copy the signing secret shown after creation. It starts with whsec_.","Signing secret used to verify incoming Stripe webhook events. To obtain it: open the Stripe Dashboard → Developers → Webhooks (https://dashboard.stripe.com/webhooks), click 'Add endpoint', enter your shop's notification URL (e.g. https://your-shop.com/stripe/notification), select the required events, then copy the signing secret shown after creation. It starts with whsec_."
"Signing secret for the Stripe Connect webhook endpoint. Required for Marketplace setups to receive account.updated events from connected merchant accounts. To obtain it: open the Stripe Dashboard → Developers → Webhooks (https://dashboard.stripe.com/webhooks), switch to the 'Connect' tab, add an endpoint for your shop's notification URL and copy the signing secret. Leave empty for non-Marketplace installations.","Signing secret for the Stripe Connect webhook endpoint. Required for Marketplace setups to receive account.updated events from connected merchant accounts. To obtain it: open the Stripe Dashboard → Developers → Webhooks (https://dashboard.stripe.com/webhooks), switch to the 'Connect' tab, add an endpoint for your shop's notification URL and copy the signing secret. Leave empty for non-Marketplace installations."
"This Stripe credential is invalid. Please verify it in the Stripe Dashboard.","This Stripe credential is invalid. Please verify it in the Stripe Dashboard."
"This Stripe credential is required. All credentials must be provided together — partial configuration is not supported.","This Stripe credential is required. All credentials must be provided together — partial configuration is not supported."
