Back,Zurück
"Missing or unresolved merchant reference.","Fehlende oder unaufgelöste Händlerreferenz."
"Stripe Dashboard","Stripe Dashboard"
"Unable to generate Stripe Dashboard link. Please ensure the merchant has completed onboarding.","Stripe-Dashboard-Link konnte nicht generiert werden. Bitte stellen Sie sicher, dass der Händler das Onboarding abgeschlossen hat."
"Quick link to Stripe Express Dashboard","Schnellzugriff auf das Stripe Express Dashboard"
"Third-party integrations configuration.","Konfiguration von Drittanbieter-Integrationen."
"Stripe API credentials for payment provider integration. All credentials must be provided for Stripe payments to function. After saving valid credentials, activate Stripe under Administration → Payment Methods.","Stripe-API-Anmeldedaten für die Integration des Zahlungsanbieters. Alle Anmeldedaten müssen angegeben werden, damit Stripe-Zahlungen funktionieren. Nach dem Speichern gültiger Anmeldedaten aktivieren Sie Stripe unter Administration → Zahlungsmethoden."
"Server-side secret key used for all Stripe API calls. Find it in the Stripe Dashboard under Developers → API keys (https://dashboard.stripe.com/apikeys). Test keys start with sk_test_, production keys with sk_live_. Never expose this key in frontend code.","Serverseitiger geheimer Schlüssel für alle Stripe-API-Aufrufe. Zu finden im Stripe-Dashboard unter Entwickler → API-Schlüssel (https://dashboard.stripe.com/apikeys). Testschlüssel beginnen mit sk_test_, Produktionsschlüssel mit sk_live_. Geben Sie diesen Schlüssel niemals im Frontend-Code preis."
"Client-side publishable key used by Stripe.js in the storefront. Find it in the Stripe Dashboard under Developers → API keys (https://dashboard.stripe.com/apikeys). Test keys start with pk_test_, production keys with pk_live_. Must belong to the same environment (test/live) as the Secret Key.","Clientseitiger öffentlicher Schlüssel, der von Stripe.js im Storefront verwendet wird. Zu finden im Stripe-Dashboard unter Entwickler → API-Schlüssel (https://dashboard.stripe.com/apikeys). Testschlüssel beginnen mit pk_test_, Produktionsschlüssel mit pk_live_. Muss zur gleichen Umgebung (Test/Live) wie der geheime Schlüssel gehören."
"Signing secret used to verify incoming Stripe webhook events. To obtain it: open the Stripe Dashboard → Developers → Webhooks (https://dashboard.stripe.com/webhooks), click 'Add endpoint', enter your shop's notification URL (e.g. https://your-shop.com/stripe/notification), select the required events, then copy the signing secret shown after creation. It starts with whsec_.","Signierschlüssel zur Überprüfung eingehender Stripe-Webhook-Ereignisse. So erhalten Sie ihn: Öffnen Sie das Stripe-Dashboard → Entwickler → Webhooks (https://dashboard.stripe.com/webhooks), klicken Sie auf 'Endpunkt hinzufügen', geben Sie die Benachrichtigungs-URL Ihres Shops ein (z.B. https://your-shop.com/stripe/notification), wählen Sie die erforderlichen Ereignisse aus und kopieren Sie dann den nach der Erstellung angezeigten Signierschlüssel. Er beginnt mit whsec_."
"Signing secret for the Stripe Connect webhook endpoint. Required for Marketplace setups to receive account.updated events from connected merchant accounts. To obtain it: open the Stripe Dashboard → Developers → Webhooks (https://dashboard.stripe.com/webhooks), switch to the 'Connect' tab, add an endpoint for your shop's notification URL and copy the signing secret. Leave empty for non-Marketplace installations.","Signierschlüssel für den Stripe Connect Webhook-Endpunkt. Erforderlich für Marketplace-Installationen, um account.updated-Ereignisse von verbundenen Händlerkonten zu empfangen. So erhalten Sie ihn: Öffnen Sie das Stripe-Dashboard → Entwickler → Webhooks (https://dashboard.stripe.com/webhooks), wechseln Sie zum Tab 'Connect', fügen Sie einen Endpunkt für die Benachrichtigungs-URL Ihres Shops hinzu und kopieren Sie den Signierschlüssel. Leer lassen für Nicht-Marketplace-Installationen."
"This Stripe credential is invalid. Please verify it in the Stripe Dashboard.","Diese Stripe-Anmeldedaten sind ungültig. Bitte überprüfen Sie sie im Stripe-Dashboard."
"This Stripe credential is required. All credentials must be provided together — partial configuration is not supported.","Diese Stripe-Anmeldedaten sind erforderlich. Alle Anmeldedaten müssen gemeinsam angegeben werden — eine teilweise Konfiguration wird nicht unterstützt."
